,month,name,plot.id,species,family,fg.fine,bites,bitesm2,area,plot.area
26,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
27,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
28,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
29,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
30,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,4,1,4,shaded
31,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
32,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
33,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
34,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
35,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
36,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
37,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
38,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
39,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
40,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
41,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
42,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
43,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,1,0.25,4,shaded
44,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,1,0.25,4,shaded
45,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,1,0.25,4,shaded
46,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,2,0.5,4,shaded
47,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,3,0.75,4,shaded
48,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,2,0.5,4,shaded
49,March,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,14,3.5,4,shaded
50,March,lo-4-1,shaded 4,Scarus sordidus,Labridae (scarids),Herbivore Scraper,5,1.25,4,shaded
51,March,lo-4-1,shaded 4,Scarus sordidus,Labridae (scarids),Herbivore Scraper,4,1,4,shaded
52,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
53,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
54,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
55,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
56,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,3,0.75,4,shaded
57,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
58,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
59,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
60,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
61,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
62,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
63,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
64,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
65,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
66,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
67,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
68,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
69,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
70,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
71,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
72,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
73,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
74,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
75,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
76,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
77,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
78,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
79,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
80,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
81,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
82,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
83,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
84,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
85,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,4,1,4,shaded
86,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
87,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
88,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
89,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
90,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
91,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
92,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
93,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
94,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
95,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
96,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
97,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,5,1.25,4,shaded
98,March,lo-4-1,shaded 4,Scarus ghobban ,Labridae (scarids),Herbivore Scraper,5,1.25,4,shaded
99,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,1,0.25,4,shaded
100,March,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,13,3.25,4,shaded
101,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
102,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
103,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
104,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
105,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
106,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
107,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
108,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
109,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
110,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
111,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,10,2.5,4,shaded
112,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
113,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
114,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
115,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
116,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
117,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
118,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
119,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
120,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
121,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
122,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
123,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
124,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
125,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
126,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
127,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
128,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
129,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
130,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
131,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
132,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
133,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
134,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
135,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
136,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
137,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
138,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
139,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
140,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,10,2.5,4,shaded
141,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,47,11.75,4,shaded
142,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,13,3.25,4,shaded
143,March,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,10,2.5,4,shaded
144,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,12,3,4,shaded
145,March,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,14,3.5,4,shaded
146,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,9,2.25,4,shaded
147,March,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,24,6,4,shaded
148,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
149,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,17,4.25,4,shaded
150,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,3,0.75,4,shaded
151,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,20,5,4,shaded
152,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
153,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
154,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
155,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
156,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
157,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
158,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
159,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
160,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
161,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,8,2,4,shaded
162,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
163,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
164,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
165,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
166,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,17,4.25,4,shaded
167,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
168,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
169,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
170,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
171,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
172,March,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
173,March,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,11,2.75,4,shaded
174,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,21,5.25,4,shaded
175,March,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,12,3,4,shaded
176,March,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,9,2.25,4,shaded
177,May,lo-4-1,shaded 4,Acanthurus triostegus ,Acanthuridae,Herbivore Grazer,19,4.75,4,shaded
178,May,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
179,May,lo-4-1,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
180,May,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,5,1.25,4,shaded
181,May,lo-4-1,shaded 4,Scarus sordidus,Labridae (scarids),Herbivore Scraper,3,0.75,4,shaded
182,May,lo-4-1,shaded 4,Ctenochaetus striatus,Acanthuridae,Herbivore Grazer,2,0.5,4,shaded
183,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
184,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
185,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
186,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
187,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
188,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
189,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
190,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
191,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
192,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
193,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
194,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
195,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
196,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
197,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,1,0.25,4,shaded
198,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
199,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,2,0.5,4,shaded
200,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
201,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
202,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
203,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
204,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
205,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
206,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,8,2,4,shaded
207,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
208,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
209,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
210,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
211,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
212,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
213,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,8,2,4,shaded
214,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
215,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
216,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
217,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
218,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
219,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
220,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
221,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
222,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,11,2.75,4,shaded
223,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,9,2.25,4,shaded
224,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,10,2.5,4,shaded
225,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,12,3,4,shaded
226,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,15,3.75,4,shaded
227,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,15,3.75,4,shaded
228,May,lo-4-1,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,14,3.5,4,shaded
229,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,1,0.25,4,shaded
230,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
231,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
232,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,3,0.75,4,shaded
233,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
234,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
235,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
236,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,8,2,4,shaded
237,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
238,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,6,1.5,4,shaded
239,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,5,1.25,4,shaded
240,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
241,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,7,1.75,4,shaded
242,March,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,4,1,4,shaded
243,March,lo-4-2,shaded 4,Acanthurus triostegus ,Acanthuridae,Herbivore Grazer,4,1,4,shaded
244,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
245,March,lo-4-2,shaded 4,Scarus sordidus,Labridae (scarids),Herbivore Scraper,7,1.75,4,shaded
246,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,1,0.25,4,shaded
247,March,lo-4-2,shaded 4,Acanthurus triostegus ,Acanthuridae,Herbivore Grazer,4,1,4,shaded
248,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,1,0.25,4,shaded
249,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,4,1,4,shaded
250,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
251,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
252,March,lo-4-2,shaded 4,Acanthurus triostegus ,Acanthuridae,Herbivore Grazer,7,1.75,4,shaded
253,March,lo-4-2,shaded 4,Scarus ghobban,Labridae (scarids),Herbivore Scraper,23,5.75,4,shaded
254,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,1,0.25,4,shaded
255,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,2,0.5,4,shaded
256,March,lo-4-2,shaded 4,Leptoscarus vaigiensis,Labridae (scarids),Herbivore Browser,4,1,4,shaded
257,May,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,16,4,4,shaded
258,May,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,17,4.25,4,shaded
259,May,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,18,4.5,4,shaded
260,May,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,14,3.5,4,shaded
261,May,lo-4-2,shaded 4,Siganus sutor,Siganidae,Herbivore Browser,14,3.5,4,shaded
